day	hour	temp
2022-01-01	0	51.98
2022-01-01	1	52.34
2022-01-01	2	51.8
2022-01-01	3	52.34
2022-01-01	4	52.88
2022-01-01	5	53.42
2022-01-01	6	54.14
2022-01-01	7	54.5
2022-01-01	8	54.5
2022-01-01	9	55.4
2022-01-01	10	55.94
2022-01-01	11	55.94
2022-01-01	12	55.94
2022-01-01	13	55.76
2022-01-01	14	56.66
2022-01-01	15	57.02
2022-01-01	16	57.2
2022-01-01	17	56.12
2022-01-01	18	55.76
2022-01-01	19	55.58
2022-01-01	20	55.22
2022-01-01	21	54.32
2022-01-01	22	55.22
2022-01-01	23	64.58
2022-01-02	0	63.86
2022-01-02	1	61.88
2022-01-02	2	60.8
2022-01-02	3	59.54
2022-01-02	4	58.28
2022-01-02	5	56.84
2022-01-02	6	55.94
2022-01-02	7	55.04
2022-01-02	8	55.58
2022-01-02	9	56.84
2022-01-02	10	58.1
2022-01-02	11	59
2022-01-02	12	61.34
2022-01-02	13	63.86
2022-01-02	14	64.58
2022-01-02	15	63.86
2022-01-02	16	62.24
2022-01-02	17	59.54
2022-01-02	18	56.3
2022-01-02	19	52.88
2022-01-02	20	50.72
2022-01-02	21	49.46
2022-01-02	22	47.84
2022-01-02	23	45.86
2022-01-03	0	42.44
2022-01-03	1	40.28
2022-01-03	2	38.66
2022-01-03	3	37.22
2022-01-03	4	35.6
2022-01-03	5	34.52
2022-01-03	6	33.8
2022-01-03	7	32.72
2022-01-03	8	32.18
2022-01-03	9	31.46
2022-01-03	10	31.46
2022-01-03	11	31.1
2022-01-03	12	31.46
2022-01-03	13	31.28
2022-01-03	14	31.28
2022-01-03	15	32
2022-01-03	16	32.36
2022-01-03	17	31.82
2022-01-03	18	30.92
2022-01-03	19	30.02
2022-01-03	20	29.66
2022-01-03	21	28.94
2022-01-03	22	27.86
2022-01-03	23	27.14
2022-01-04	0	26.78
2022-01-04	1	26.6
2022-01-04	2	26.42
2022-01-04	3	25.52
2022-01-04	4	24.44
2022-01-04	5	23.72
2022-01-04	6	23.72
2022-01-04	7	24.26
2022-01-04	8	24.62
2022-01-04	9	25.7
2022-01-04	10	27.68
2022-01-04	11	29.48
2022-01-04	12	31.46
2022-01-04	13	32
2022-01-04	14	32.54
2022-01-04	15	32.9
2022-01-04	16	32.72
2022-01-04	17	33.26
2022-01-04	18	33.62
2022-01-04	19	33.44
2022-01-04	20	33.98
2022-01-04	21	34.52
2022-01-04	22	34.7
2022-01-04	23	34.16
2022-01-05	0	33.98
2022-01-05	1	34.16
2022-01-05	2	33.98
2022-01-05	3	33.08
2022-01-05	4	33.8
2022-01-05	5	34.7
2022-01-05	6	35.6
2022-01-05	7	36.32
2022-01-05	8	35.96
2022-01-05	9	36.86
2022-01-05	10	38.3
2022-01-05	11	39.74
2022-01-05	12	41.18
2022-01-05	13	42.26
2022-01-05	14	42.98
2022-01-05	15	43.7
2022-01-05	16	43.52
2022-01-05	17	42.8
2022-01-05	18	41.72
2022-01-05	19	41.36
2022-01-05	20	40.46
2022-01-05	21	40.1
2022-01-05	22	39.92
2022-01-05	23	39.92
2022-01-06	0	39.74
2022-01-06	1	40.28
2022-01-06	2	39.02
2022-01-06	3	37.58
2022-01-06	4	37.76
2022-01-06	5	38.3
2022-01-06	6	37.58
2022-01-06	7	35.96
2022-01-06	8	34.7
2022-01-06	9	35.06
2022-01-06	10	35.78
2022-01-06	11	37.76
2022-01-06	12	37.76
2022-01-06	13	38.66
2022-01-06	14	38.84
2022-01-06	15	39.02
2022-01-06	16	38.48
2022-01-06	17	37.76
2022-01-06	18	36.32
2022-01-06	19	36.86
2022-01-06	20	38.3
2022-01-06	21	37.76
2022-01-06	22	36.86
2022-01-06	23	36.14
2022-01-07	0	35.24
2022-01-07	1	34.52
2022-01-07	2	31.82
2022-01-07	3	31.1
2022-01-07	4	30.74
2022-01-07	5	31.46
2022-01-07	6	31.64
2022-01-07	7	30.38
2022-01-07	8	28.58
2022-01-07	9	28.4
2022-01-07	10	28.58
2022-01-07	11	28.94
2022-01-07	12	30.38
2022-01-07	13	31.1
2022-01-07	14	31.64
2022-01-07	15	31.1
2022-01-07	16	30.56
2022-01-07	17	28.76
2022-01-07	18	27.5
2022-01-07	19	26.42
2022-01-07	20	25.52
2022-01-07	21	24.98
2022-01-07	22	24.62
2022-01-07	23	23.36
